iter	Passed	Remaining
670	892	437
671	893	436
672	894	434
673	895	433
674	896	431
675	897	430
676	898	428
677	899	427
678	900	425
679	901	424
680	902	422
681	903	421
682	904	419
683	905	418
684	905	416
685	906	415
686	908	413
687	908	412
688	909	410
689	910	409
690	911	407
691	912	406
692	913	404
693	914	403
694	915	401
695	916	400
696	917	398
697	918	397
698	920	396
699	920	394
700	921	393
701	922	391
702	923	390
703	924	388
704	925	387
705	925	385
706	926	384
707	927	382
708	928	381
709	930	379
710	931	378
711	932	377
712	933	375
713	934	374
714	935	372
715	936	371
716	937	369
717	937	368
718	938	366
719	939	365
720	940	363
721	941	362
722	942	361
723	943	359
724	943	358
725	944	356
726	945	355
727	947	353
728	947	352
729	948	350
730	949	349
731	950	347
732	951	346
733	952	345
734	953	343
735	953	342
736	954	340
737	955	339
738	956	337
739	957	336
740	958	334
741	959	333
742	960	332
743	961	330
744	962	329
745	963	328
746	964	326
747	965	325
748	965	323
749	966	322
750	967	320
751	968	319
752	969	318
753	970	316
754	971	315
755	972	313
756	973	312
757	974	311
758	975	309
759	977	308
760	977	307
761	978	305
762	979	304
763	980	302
764	981	301
765	982	300
766	982	298
767	983	297
768	984	295
769	985	294
770	986	292
771	986	291
772	987	290
773	988	288
774	989	287
775	990	286
776	992	284
777	993	283
778	993	281
779	994	280
780	995	279
781	996	277
782	997	276
783	998	275
784	999	273
785	1000	272
786	1001	270
787	1001	269
788	1002	268
789	1003	266
790	1004	265
791	1005	264
792	1006	262
793	1008	261
794	1008	260
795	1010	258
796	1011	257
797	1011	256
798	1012	254
799	1013	253
800	1014	251
801	1015	250
802	1015	249
803	1016	247
804	1017	246
805	1018	245
806	1019	243
807	1020	242
808	1021	241
809	1022	239
810	1023	238
811	1024	237
812	1025	235
813	1026	234
814	1027	233
815	1028	231
816	1029	230
817	1030	229
818	1030	227
819	1031	226
820	1032	225
821	1033	223
822	1034	222
823	1035	221
824	1036	219
825	1037	218
826	1038	217
827	1038	215
828	1040	214
829	1041	213
830	1042	211
831	1043	210
832	1044	209
833	1045	208
834	1046	206
835	1047	205
836	1049	204
837	1050	203
838	1051	201
839	1053	200
840	1054	199
841	1055	198
842	1056	196
843	1057	195
844	1058	194
845	1059	192
846	1060	191
847	1061	190
848	1062	188
849	1063	187
850	1064	186
851	1065	185
852	1066	183
853	1067	182
854	1068	181
855	1069	179
856	1070	178
857	1071	177
858	1072	176
859	1073	174
860	1074	173
861	1074	172
862	1075	170
863	1076	169
864	1077	168
865	1078	166
866	1079	165
867	1079	164
868	1081	162
869	1082	161
870	1083	160
871	1084	159
872	1085	157
873	1086	156
874	1087	155
875	1088	154
876	1089	152
877	1090	151
878	1092	150
879	1093	149
880	1093	147
881	1095	146
882	1096	145
883	1097	144
884	1099	142
885	1100	141
886	1101	140
887	1103	139
888	1104	137
889	1105	136
890	1106	135
891	1109	134
892	1112	133
893	1115	132
894	1116	131
895	1118	129
896	1119	128
897	1120	127
898	1121	125
899	1122	124
900	1123	123
901	1124	122
902	1125	120
903	1127	119
904	1128	118
905	1129	117
906	1130	115
907	1131	114
908	1132	113
909	1133	112
910	1135	110
911	1137	109
912	1139	108
913	1140	107
914	1142	106
915	1143	104
916	1144	103
917	1145	102
918	1146	101
919	1147	99
920	1149	98
921	1150	97
922	1151	96
923	1152	94
924	1153	93
925	1155	92
926	1156	91
927	1157	89
928	1158	88
929	1160	87
930	1161	86
931	1162	84
932	1163	83
933	1164	82
934	1165	81
935	1166	79
936	1168	78
937	1169	77
938	1170	76
939	1171	74
940	1172	73
941	1173	72
942	1175	71
943	1176	69
944	1177	68
945	1178	67
946	1179	65
947	1180	64
948	1181	63
